file,bead_number,start_index,end_index,is_test,Logistic Regression_Prediction,Logistic Regression_Correct,Random Forest_Prediction,Random Forest_Correct,SVM_Prediction,SVM_Correct,XGBoost_Prediction,XGBoost_Correct,KNN_Prediction,KNN_Correct,Neural Network_Prediction,Neural Network_Correct,HistGradientBoosting_Prediction,HistGradientBoosting_Correct
103351_BM4A2NE1T220810Y0188.csv,7,63497,64971,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,8,65127,66601,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,9,66750,68224,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,10,68385,69859,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,11,82308,83783,True,0.0,False,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,12,83935,85409,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,13,85552,87026,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,14,87174,88648,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,15,88810,90284,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,16,90429,91903,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,17,103657,105132,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,18,105283,106757,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,19,106906,108380,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,20,108541,110015,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,21,110194,111668,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,22,111819,113293,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,23,124639,126113,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,24,126264,127738,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,25,127883,129357,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,26,129504,130979,True,0.0,False,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,27,131121,132595,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,28,132740,134214,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,29,134390,135864,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,30,136018,137492,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,31,137637,139111,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,32,149306,152633,False,,,,,,,,,,,,,,
103351_BM4A2NE1T220810Y0188.csv,33,152776,156102,True,2.0,False,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,34,165797,169123,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
103351_BM4A2NE1T220810Y0188.csv,35,169274,172600,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,1,8322,12315,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,2,12498,16490,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,3,16633,20625,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,4,40427,43753,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,5,43936,47263,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,6,47417,50743,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,7,63659,65134,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,8,65281,66755,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,9,66904,68378,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,10,68539,70013,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,11,82158,83632,True,0.0,False,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,12,83785,85259,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,13,85404,86878,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,14,87025,88500,True,2.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,15,88662,90136,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,16,90281,91755,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,17,103712,105187,True,3.0,False,1.0,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,18,105336,106811,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,19,106960,108434,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,20,108594,110068,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,21,110247,111721,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,22,111872,113346,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,23,123768,125242,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,24,125394,126869,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,25,127011,128486,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,26,128632,130106,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,27,130249,131723,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,28,131868,133342,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,29,133519,134993,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,30,135147,136621,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,31,136765,138239,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112301_BM4A1NE1T220810Y0194.csv,32,148177,151503,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,33,151647,154973,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,34,165791,169117,False,,,,,,,,,,,,,,
112301_BM4A1NE1T220810Y0194.csv,35,169272,172598,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,1,9629,13622,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,2,13806,17799,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,3,17946,21938,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,4,42806,46132,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,5,46325,49651,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,6,49805,53132,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,7,64461,65935,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,8,66079,67553,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,9,67702,69176,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,10,69337,70811,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,11,81388,82862,True,2.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,12,83020,84494,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,13,84654,86128,True,1.0,True,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,14,86276,87750,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,15,87912,89386,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,16,89531,91005,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,17,101629,103104,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,18,103254,104728,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,19,104877,106351,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,20,106511,107986,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,21,108165,109639,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,22,109789,111264,False,,,,,,,,,,,,,,
112332_BM4A2NE1T220810Y0194.csv,23,122336,123810,True,0.0,False,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112332_BM4A2NE1T220810Y0194.csv,24,123955,125429,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
